GameID,Title,Rank,PageRankScore,Influence,Rating,Year,Recommendations
256960,Pax Pamir: Second Edition,41,0.87525116,Média,8.28948,2019,28
28720,Brass: Lancashire,20,0.87525116,Média,8.18934,2007,28
324856,The Crew: Mission Deep Sea,38,0.86261648,Média,8.29454,2021,28
12333,Twilight Struggle,14,0.85082434,Média,8.26264,2005,28
175914,Food Chain Magnate,35,0.85022654,Média,8.09416,2015,28
55690,Kingdom Death: Monster,61,0.83220004,Média,8.54259,2015,28
521,Crokinole,56,0.82630926,Média,7.98446,1876,28
200680,Agricola (Revised Edition),77,0.81982924,Média,7.97579,2016,28
231733,Obsession,94,0.80453600,Média,8.24248,2018,28
164153,Star Wars: Imperial Assault,59,0.76979914,Média,7.98267,2014,28
40834,Dominion: Intrigue,96,0.76979914,Média,7.69721,2009,28
205637,Arkham Horror: The Card Game,27,0.76979914,Média,8.14743,2016,6
124742,Android: Netrunner,67,0.76979914,Média,7.87594,2012,28
